estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.027923552626336716,0.03770248141538069,0.008805234385871297,linear,DINA,64
mp,0.030490630114639622,0.04302082026178146,0.007013148622578214,linear,DINA,64
MAP,0.032857629774150826,0.04561421097324032,0.005912922020443204,linear,DINA,65
mp,0.03451543414890639,0.052605558927463915,0.0033685246042432938,linear,DINA,65
MAP,0.0318569104942653,0.03620326466172131,0.011492220394632808,linear,DINA,66
mp,0.03498054739718589,0.048220981425163775,0.008470363328708975,linear,DINA,66
MAP,0.03080516039289976,0.037172874642960846,0.02212654592123568,linear,DINA,67
mp,0.03266920570020782,0.04158768783317463,0.02423554093540043,linear,DINA,67
MAP,0.0340863255792813,0.04565414864686832,0.00575610158735441,linear,DINA,68
mp,0.036197126026903344,0.05253650633811776,0.004036793427176952,linear,DINA,68
MAP,0.033690386984536046,0.04062612117290662,0.0041413061791383795,linear,DINA,69
mp,0.0356398223228032,0.052141807103158834,0.0043671488365157225,linear,DINA,69
MAP,0.036697113342754745,0.02673176402556741,0.02510582000586886,linear,DINA,70
mp,0.03913995996986823,0.03109135502237111,0.028973817255760436,linear,DINA,70
MAP,0.029575260195474695,0.033656833515081384,0.009292391212040809,linear,DINA,71
mp,0.03233636785540894,0.043564629324808625,0.005518521462475434,linear,DINA,71
MAP,0.027211740559623915,0.031831134535341296,0.003792666854105478,linear,DINA,72
mp,0.029391128356061568,0.04112278120033572,0.004574044891303935,linear,DINA,72
MAP,0.03420215010303695,0.04605741615816868,0.0063597760302392115,linear,DINA,73
mp,0.03565869979953828,0.05394085653349921,0.0071086112686482746,linear,DINA,73
MAP,0.029576923201418363,0.03478309616206722,0.008855980288317682,linear,DINA,74
mp,0.03209335232161515,0.045649013269880113,0.00909241934322177,linear,DINA,74
MAP,0.033095542636837276,0.042956928874140536,0.005278934007708933,linear,DINA,75
mp,0.03615664971201483,0.04954200139125121,0.004348269140052579,linear,DINA,75
MAP,NA,NA,NA,linear,DINA,76
mp,NA,NA,NA,linear,DINA,76
MAP,0.03907877268732597,0.04984156639040792,0.009874433137764064,linear,DINA,77
mp,0.040956569482447705,0.056830027065217156,0.008143211557890027,linear,DINA,77
MAP,NA,NA,NA,linear,DINA,78
mp,NA,NA,NA,linear,DINA,78
MAP,0.03627753846674288,0.023063051124651904,0.021290515656737872,linear,DINA,79
mp,0.03844125267289907,0.030404213476313453,0.028019597641212673,linear,DINA,79
MAP,0.03462818984380183,0.03572632773507767,0.016109080901148716,linear,DINA,80
mp,0.03722875287641095,0.050285637667437585,0.010897479487355123,linear,DINA,80
MAP,0.03290213820901365,0.03466681191953136,0.009044230184770899,linear,DINA,81
mp,0.034550595458569894,0.04990839168684842,0.005226922451620822,linear,DINA,81
MAP,0.03408560365302877,0.03218325624435501,0.01879287635928128,linear,DINA,82
mp,0.03689115294127743,0.03877001193894082,0.02245791758029531,linear,DINA,82
MAP,0.03714742203200805,0.03187581209959399,0.018343152670618337,linear,DINA,83
mp,0.04010866906414231,0.0392790634338612,0.021996237150177317,linear,DINA,83
MAP,NA,NA,NA,linear,DINA,84
mp,NA,NA,NA,linear,DINA,84
MAP,0.03133329246649295,0.04206534835146764,0.005132167068049577,linear,DINA,85
mp,0.03350042119906826,0.051308037311021064,0.003269581784423606,linear,DINA,85
MAP,0.03175493980366612,0.031871577745824844,0.014261149813595553,linear,DINA,86
mp,0.033198458310129735,0.045321558486370005,0.009028876638096945,linear,DINA,86
MAP,0.03594844500569009,0.04444352041469829,0.009583903869275863,linear,DINA,87
mp,0.039391396421138945,0.05258761844397368,0.0070571823693516625,linear,DINA,87
MAP,0.03252152584335457,0.03368338580065888,0.007659649591140964,linear,DINA,88
mp,0.034290392613564494,0.04781245315665975,0.0063264589645591375,linear,DINA,88
MAP,0.028534504636828797,0.03919896253047231,0.0038851066005329694,linear,DINA,89
mp,0.030446205041745084,0.044665080168168544,0.003228372963244155,linear,DINA,89
MAP,NA,NA,NA,linear,DINA,90
mp,NA,NA,NA,linear,DINA,90
MAP,0.03012195850813131,0.040383436818740244,0.005189139552539948,linear,DINA,91
mp,0.03219705594960018,0.04678543607220653,0.005147270438082368,linear,DINA,91
MAP,0.03218344539598843,0.026648492403260532,0.016056292741638833,linear,DINA,92
mp,0.03423932899200098,0.033284186378849875,0.01930430254214859,linear,DINA,92
MAP,0.031075473793231723,0.036479842827422296,0.0029507913596276436,linear,DINA,93
mp,0.03472467048921303,0.04463620707106923,0.003285802025667287,linear,DINA,93
MAP,0.032402692348466475,0.03600681863182002,0.01609428611767741,linear,DINA,94
mp,0.034535331367372815,0.05287660491660381,0.011510389195235917,linear,DINA,94
MAP,0.034950631166318545,0.0453506410452307,0.006207829905606389,linear,DINA,95
mp,0.037213980875607455,0.052169781357272564,0.004991438595546217,linear,DINA,95
MAP,0.033205524819888955,0.042223108150432065,0.006046371724299587,linear,DINA,96
mp,0.03518615606435762,0.05221635371852582,0.009395223126056786,linear,DINA,96
MAP,NA,NA,NA,linear,DINA,97
mp,NA,NA,NA,linear,DINA,97
MAP,0.0386541056948755,0.04857012278568142,0.00646952211030429,linear,DINA,98
mp,0.04167026869501864,0.056856535921872155,0.0048831050497934484,linear,DINA,98
MAP,0.029530370157437768,0.024475925171396316,0.015240939496155244,linear,DINA,99
mp,0.032387209888853324,0.03530423530940699,0.02031643373992928,linear,DINA,99
MAP,0.03534956147609385,0.033931390949261696,0.011616694918694924,linear,DINA,100
mp,0.03921031261723577,0.04822364442603785,0.0053213971203588785,linear,DINA,100
MAP,0.14827525250271725,0.10652248714388551,0.024716813935668058,independent,DINA,1
mp,0.1550432363569425,0.15442355346068715,0.016042172276897745,independent,DINA,1
MAP,0.11289183030834336,0.08854547947859331,0.012421604728744103,independent,DINA,2
