estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.029640505721446737,0.014093511205764665,0.011535267935271579,linear,GDINA,71
mp,0.03412467926090742,0.03619430845524859,0.006475580909437147,linear,GDINA,71
MAP,0.03138365544390242,0.026653062151693274,0.01012402544010107,linear,GDINA,72
mp,0.03619735963081189,0.039707984311098184,0.008106195441675608,linear,GDINA,72
MAP,0.024405381558423176,0.008866027461458259,0.007453511302519225,linear,GDINA,73
mp,0.028342131705698777,0.029439877193448684,0.017577435751008764,linear,GDINA,73
MAP,0.033796369664068404,0.023247365110710766,0.010128826718819064,linear,GDINA,74
mp,0.036956625362098657,0.040362469432232186,0.005323890350028322,linear,GDINA,74
MAP,0.03029262328377328,0.021655221236003372,0.010582026768607353,linear,GDINA,75
mp,0.034835591526560496,0.038317510540064506,0.005704163310940345,linear,GDINA,75
MAP,0.028050770312698446,0.011889776767254329,0.011238745085913153,linear,GDINA,76
mp,0.033390834259565176,0.030738643446697203,0.006759609909022446,linear,GDINA,76
MAP,0.0326962054189886,0.024154142413714937,0.012116510869892296,linear,GDINA,77
mp,0.035639326266979854,0.04410936722423469,0.004829315457506819,linear,GDINA,77
MAP,0.02743557786602696,0.015203476814511733,0.010014248715386895,linear,GDINA,78
mp,0.03215140487901672,0.03180843335295429,0.005000532668308831,linear,GDINA,78
MAP,0.03230805956755345,0.024646868126454696,0.0032515873804281202,linear,GDINA,79
mp,0.037200090529037035,0.03677619906031477,0.003198885472742515,linear,GDINA,79
MAP,0.026164971704780358,0.014842586350867106,0.013163691637817743,linear,GDINA,80
mp,0.02985104651260981,0.03240901685997528,0.004851613391467156,linear,GDINA,80
MAP,0.036380194250983565,0.03633310552022992,0.012830784819483175,linear,GDINA,81
mp,0.039661790198293315,0.05407718853161112,0.009901565524866603,linear,GDINA,81
MAP,0.026431434039466167,0.01662370487787011,0.00384151103709939,linear,GDINA,82
mp,0.030262361256280294,0.0317544902478448,0.0019840470410805613,linear,GDINA,82
MAP,0.03048922354320513,0.0203301220189619,0.007976975120102477,linear,GDINA,83
mp,0.03596090801178546,0.03868272267064798,0.0016778420502469532,linear,GDINA,83
MAP,0.02956658165347185,0.023456734179375594,0.007940918947103186,linear,GDINA,84
mp,0.033664584134776125,0.037797167703562985,0.004531265081742354,linear,GDINA,84
MAP,0.02658010238489103,0.018646647763931486,0.004385448037230531,linear,GDINA,85
mp,0.03167896738468413,0.031209810943398118,0.0041240215070852595,linear,GDINA,85
MAP,0.023906479674846097,0.02120151804068361,0.003907867694616776,linear,GDINA,86
mp,0.028332120971689183,0.033366240508186824,0.0023336145812172236,linear,GDINA,86
MAP,0.02995467237543449,0.026292882736602758,0.011233385462190857,linear,GDINA,87
mp,0.0340542125921365,0.03894286272358452,0.00962593402816294,linear,GDINA,87
MAP,0.028591162795839932,0.024435195499681567,0.007551408502331295,linear,GDINA,88
mp,0.03330786416418372,0.03712898557554918,0.006847192552263866,linear,GDINA,88
MAP,0.029713463904591002,0.013199262112357906,0.005034890477565136,linear,GDINA,89
mp,0.034700322055073,0.03293653535932056,0.0028464179477077486,linear,GDINA,89
MAP,NA,NA,NA,linear,GDINA,90
mp,NA,NA,NA,linear,GDINA,90
MAP,0.030901292823821692,0.013176081436856496,0.004109496678494615,linear,GDINA,91
mp,0.03584110447140341,0.03623319429632524,0.0039650336331320014,linear,GDINA,91
MAP,0.028473322829148863,0.024416641238665847,0.008492851812046863,linear,GDINA,92
mp,0.03176234238952803,0.03825197286726151,0.005384676557246989,linear,GDINA,92
